Test Case	Category	plcsharp	plfsharp	plv8	plpython	plpgsql	pljava	plperl	pllua	pltcl	plr
sum2SmallInt	Integers	0.382489	0.368494	0.474686	0.38886	0.365136	0.41601	0.386862	0.44855	0.461443	0.55205
maxInteger	Integers	0.224467	0.225717	0.32505	0.244056	0.226631	0.278467	0.234823	0.309626	0.263978	0.433587
returnInt	Integers	0.22368	0.225499	0.326006	0.240878	0.225151	0.282422	0.233025	0.312823	0.271699	0.451206
inc2ToIntToInt	Integers	0.258736	0.277533	0.359765	0.275796	0.252414	0.303523	0.266594	0.338022	0.337306	0.483744
sum2Integer	Integers	0.266281	0.267775	0.375777	0.289096	0.261879	0.316047	0.281644	0.34548	0.356959	0.471847
sum3IntegerInteger	Integers	0.276608	0.278795	0.388258	0.305229	0.272002	0.325134	0.298277	0.358037	0.380649	0.483426
sum4IntegerInteger	Integers	0.289287	0.287121	0.413521	0.313137	0.282622	0.33652	0.32147	0.37021	0.405564	0.50019
maxBigInt	Integers	0.233708	0.23573	0.336783	0.254639	0.232944	0.289365	0.243062	0.323305	0.274384	0.359776
mixedInt	Integers	0.391594	0.392546	0.506079	0.420876	0.423688	0.443168	0.420431	0.47398	0.503704	0.617139
ageTest-1	Mixed	0.334176	0.326839	0.429793	0.340512	0.311734	0.522284	0.33414	0.398219	0.395219	0.580782
ageTest-2	Mixed	0.32217	0.314388	0.420935	0.337168	0.317017	0.502951	0.332429	0.398773	0.390361	0.601431
ageTest-3	Mixed	0.314388	0.312485	0.428381	0.341714	0.313836	0.506368	0.337371	0.399751	0.388782	0.588924
returnNullBool	NullBool	0.237513	0.236231	0.341688	0.240748	0.235055	0.287132	0.231831	0.280922	0.26725	0.347926
booleanNullAnd-1	NullBool	0.299365	0.287543	0.395178	0.29529	0.289777	0.390504	0.292146	0.337565	0.339775	0.438349
booleanNullAnd-2	NullBool	0.288857	0.288444	0.397434	0.293432	0.286955	0.361228	0.288017	0.331837	0.332281	0.431715
